procedure_id,topic,owner,reviewed_at,review_due_at,source_type,scope,summary
1,Phone Not Powering On,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Phone Not Powering On covering branch checks, evidence, and next-step guidance."
2,Screen Issue,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Screen Issue covering branch checks, evidence, and next-step guidance."
3,Stolen Phone,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Stolen Phone covering branch checks, evidence, and next-step guidance."
4,Charging Issue,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Charging Issue covering branch checks, evidence, and next-step guidance."
5,Overheating or Swollen Battery,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Overheating or Swollen Battery covering branch checks, evidence, and next-step guidance."
6,Battery Draining Fast,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Battery Draining Fast covering branch checks, evidence, and next-step guidance."
7,"Freezing, Hanging, or App Issue",DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Freezing, Hanging, or App Issue covering branch checks, evidence, and next-step guidance."
8,Random Restart or Safe Mode Issue,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Random Restart or Safe Mode Issue covering branch checks, evidence, and next-step guidance."
9,SIM or Network Issue,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for SIM or Network Issue covering branch checks, evidence, and next-step guidance."
10,"Speaker, Microphone, or Audio Issue",DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Speaker, Microphone, or Audio Issue covering branch checks, evidence, and next-step guidance."
11,"FRP, Password, or Locked Device",DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for FRP, Password, or Locked Device covering branch checks, evidence, and next-step guidance."
12,Liquid or Physical Damage,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Liquid or Physical Damage covering branch checks, evidence, and next-step guidance."
13,"Repair Ticket, Dispatch, or Legal Status Handling",DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Repair Ticket, Dispatch, or Legal Status Handling covering branch checks, evidence, and next-step guidance."
14,Replacement Request Eligibility,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Replacement Request Eligibility covering branch checks, evidence, and next-step guidance."
15,Asset Transfer or Loan Reschedule,DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Asset Transfer or Loan Reschedule covering branch checks, evidence, and next-step guidance."
16,"Return, Refund, or Recovered Device Handling",DiagnosticHub Content Team,2026-05-18,2027-05-18,internal_sop,Branch diagnostic teaching and escalation guidance.,"Original internal summary for Return, Refund, or Recovered Device Handling covering branch checks, evidence, and next-step guidance."
